期号  	开奖日期	开奖号码
2020015	2020-03-25(三)	01 07 23 24 26 03 07 
2020014	2020-03-23(一)	03 07 09 17 21 03 06 
2020013	2020-03-21(六)	01 04 05 11 35 03 09 
2020012	2020-03-18(三)	01 06 18 32 34 01 03 
2020011	2020-03-16(一)	02 13 19 22 23 02 07 
2020010	2020-03-14(六)	01 08 13 24 32 02 09 
2020009	2020-01-20(一)	19 29 31 34 35 06 10 
2020008	2020-01-18(六)	14 17 19 24 32 01 06 
2020007	2020-01-15(三)	02 10 19 24 30 05 08 
2020006	2020-01-13(一)	09 22 25 31 32 08 12 
2020005	2020-01-11(六)	06 10 33 34 35 01 03 
2020004	2020-01-08(三)	17 20 21 29 30 05 09 
2020003	2020-01-06(一)	23 25 26 30 34 03 07 
2020002	2020-01-04(六)	03 07 18 25 30 02 07 
2020001	2020-01-01(三)	17 25 26 32 34 04 07 
2019150	2019-12-30(一)	07 11 12 16 33 05 07 
2019149	2019-12-28(六)	01 02 07 33 35 06 10 
2019148	2019-12-25(三)	03 04 07 11 30 08 09 
2019147	2019-12-23(一)	09 12 19 22 33 07 08 
2019146	2019-12-21(六)	10 11 26 33 34 01 06 
2019145	2019-12-18(三)	05 09 19 22 32 03 05 
2019144	2019-12-16(一)	02 05 20 28 31 02 11 
2019143	2019-12-14(六)	04 22 23 24 32 06 12 
2019142	2019-12-11(三)	03 04 26 29 33 06 07 
2019141	2019-12-09(一)	02 10 20 21 35 01 12 
2019140	2019-12-07(六)	03 07 08 25 27 03 05 
2019139	2019-12-04(三)	01 05 07 08 11 06 10 
2019138	2019-12-02(一)	04 06 07 20 29 02 04 
2019137	2019-11-30(六)	03 05 12 13 26 07 12 
2019136	2019-11-27(三)	03 16 20 26 29 03 09 
2019135	2019-11-25(一)	04 05 19 25 26 01 11 
2019134	2019-11-23(六)	05 06 07 14 17 10 11 
2019133	2019-11-20(三)	03 12 24 27 34 01 12 
2019132	2019-11-18(一)	03 05 06 13 18 10 12 
2019131	2019-11-16(六)	05 06 14 27 29 06 10 
2019130	2019-11-13(三)	01 13 20 21 26 04 10 
2019129	2019-11-11(一)	10 13 18 23 30 06 12 
2019128	2019-11-09(六)	20 21 25 34 35 03 12 
2019127	2019-11-06(三)	04 07 08 11 16 09 11 
2019126	2019-11-04(一)	05 09 16 18 30 04 07 
2019125	2019-11-02(六)	05 08 09 14 34 02 05 
2019124	2019-10-30(三)	07 17 26 27 30 06 12 
2019123	2019-10-28(一)	03 13 15 26 30 05 12 
2019122	2019-10-26(六)	05 19 25 31 33 10 11 
2019121	2019-10-23(三)	01 02 03 07 17 04 10 
2019120	2019-10-21(一)	06 15 17 22 25 01 09 
2019119	2019-10-19(六)	03 06 09 23 34 02 11 
2019118	2019-10-16(三)	02 03 13 19 26 02 03 
2019117	2019-10-14(一)	01 18 21 25 35 07 08 
2019116	2019-10-12(六)	02 10 16 21 23 02 12 
2019115	2019-10-09(三)	01 18 21 28 32 05 12 
2019114	2019-09-30(一)	03 05 07 20 23 04 11 
2019113	2019-09-28(六)	03 11 27 34 35 01 02 
2019112	2019-09-25(三)	03 10 16 21 33 05 06 
2019111	2019-09-23(一)	06 15 20 23 27 08 10 
2019110	2019-09-21(六)	01 19 23 24 30 04 05 
2019109	2019-09-18(三)	02 07 08 20 25 11 12 
2019108	2019-09-16(一)	24 27 28 31 34 04 08 
2019107	2019-09-14(六)	05 09 19 27 35 02 03 
2019106	2019-09-11(三)	05 08 10 32 35 02 10 
2019105	2019-09-09(一)	01 04 09 14 17 01 06 
2019104	2019-09-07(六)	02 07 19 22 28 03 05 
2019103	2019-09-04(三)	05 12 22 27 32 04 07 
2019102	2019-09-02(一)	05 10 15 19 31 03 06 
2019101	2019-08-31(六)	05 11 18 19 27 05 06 
2019100	2019-08-28(三)	05 08 12 19 21 06 11 
2019099	2019-08-26(一)	04 06 18 27 33 07 09 
2019098	2019-08-24(六)	13 15 17 19 22 03 04 
2019097	2019-08-21(三)	10 17 20 30 35 10 12 
2019096	2019-08-19(一)	02 12 22 23 27 02 06 
2019095	2019-08-17(六)	03 12 17 19 31 02 06 
2019094	2019-08-14(三)	01 12 14 26 27 07 09 
2019093	2019-08-12(一)	16 17 26 29 35 01 07 
2019092	2019-08-10(六)	02 11 15 27 30 02 05 
2019091	2019-08-07(三)	04 13 20 26 28 03 12 
2019090	2019-08-05(一)	13 19 28 30 33 02 12 
2019089	2019-08-03(六)	09 14 18 33 34 03 12 
2019088	2019-07-31(三)	01 05 18 27 33 06 08 
2019087	2019-07-29(一)	05 06 18 19 27 07 12 
2019086	2019-07-27(六)	05 15 16 28 31 02 07 
2019085	2019-07-24(三)	04 05 06 15 26 08 11 
2019084	2019-07-22(一)	12 23 25 34 35 01 07 
2019083	2019-07-20(六)	17 24 26 28 32 07 09 
2019082	2019-07-17(三)	06 18 20 21 31 03 04 
2019081	2019-07-15(一)	06 24 26 30 33 02 07 
2019080	2019-07-13(六)	05 13 18 19 24 02 07 
2019079	2019-07-10(三)	10 13 16 28 35 04 05 
2019078	2019-07-08(一)	05 10 21 26 30 01 07 
2019077	2019-07-06(六)	01 15 17 21 33 07 10 
2019076	2019-07-03(三)	01 06 11 23 29 01 11 
2019075	2019-07-01(一)	05 06 07 11 16 02 11 
2019074	2019-06-29(六)	08 09 13 14 34 05 07 
2019073	2019-06-26(三)	04 11 19 20 24 08 11 
2019072	2019-06-24(一)	02 04 06 09 18 07 10 
2019071	2019-06-22(六)	07 13 14 15 22 07 11 
2019070	2019-06-19(三)	02 13 15 22 34 02 12 
2019069	2019-06-17(一)	08 22 23 33 34 04 06 
2019068	2019-06-15(六)	04 05 08 17 27 06 11 
2019067	2019-06-12(三)	03 08 11 15 16 02 10 
2019066	2019-06-10(一)	04 10 11 18 31 05 08 
2019065	2019-06-08(六)	03 08 10 23 27 02 12 
2019064	2019-06-05(三)	07 08 13 19 29 11 12 
2019063	2019-06-03(一)	05 08 15 18 21 04 08 
2019062	2019-06-01(六)	05 16 23 25 28 01 12 
2019061	2019-05-29(三)	01 02 13 14 26 05 11 
2019060	2019-05-27(一)	01 11 12 18 21 08 10 
2019059	2019-05-25(六)	07 08 15 27 32 08 12 
2019058	2019-05-22(三)	03 10 13 14 32 07 11 
2019057	2019-05-20(一)	08 14 16 34 35 06 12 
2019056	2019-05-18(六)	01 07 10 12 23 06 08 
2019055	2019-05-15(三)	02 04 06 19 22 02 06 
2019054	2019-05-13(一)	02 18 23 27 30 05 10 
2019053	2019-05-11(六)	01 11 19 26 35 11 12 
2019052	2019-05-08(三)	04 10 15 20 24 07 11 
2019051	2019-05-06(一)	11 15 16 20 29 04 08 
2019050	2019-05-04(六)	04 15 16 20 35 03 12 
2019049	2019-05-01(三)	10 16 22 26 27 07 11 
2019048	2019-04-29(一)	06 10 16 29 33 05 11 
2019047	2019-04-27(六)	03 04 10 16 32 04 09 
2019046	2019-04-24(三)	02 08 14 15 35 10 12 
2019045	2019-04-22(一)	01 04 16 19 33 03 12 
2019044	2019-04-20(六)	03 06 10 12 31 01 02 
2019043	2019-04-17(三)	02 06 07 12 15 06 12 
2019042	2019-04-15(一)	04 10 13 28 33 11 12 
2019041	2019-04-13(六)	12 19 20 22 28 02 06 
2019040	2019-04-10(三)	01 03 31 32 34 01 03 
2019039	2019-04-08(一)	01 12 18 26 35 06 12 
2019038	2019-04-06(六)	05 11 16 18 27 07 12 
2019037	2019-04-03(三)	06 16 26 33 35 04 08 
2019036	2019-04-01(一)	03 09 21 28 30 01 12 
2019035	2019-03-30(六)	01 03 05 07 18 08 09 
2019034	2019-03-27(三)	08 12 15 27 30 01 02 
2019033	2019-03-25(一)	01 02 04 16 24 07 09 
2019032	2019-03-23(六)	01 04 07 11 30 07 08 
2019031	2019-03-20(三)	03 08 21 26 33 04 05 
2019030	2019-03-18(一)	07 09 13 14 33 02 04 
2019029	2019-03-16(六)	01 04 18 24 28 02 03 
2019028	2019-03-13(三)	06 22 28 29 33 02 07 
2019027	2019-03-11(一)	16 18 24 25 27 02 07 
2019026	2019-03-09(六)	10 12 15 17 19 02 03 
2019025	2019-03-06(三)	06 13 16 19 29 03 07 
2019024	2019-03-04(一)	11 17 19 29 33 08 09 
2019023	2019-03-02(六)	01 03 14 26 30 06 11 
2019022	2019-02-27(三)	01 04 14 15 21 01 05 
2019021	2019-02-25(一)	07 13 17 24 33 01 10 
2019020	2019-02-23(六)	01 08 16 27 34 03 12 
2019019	2019-02-20(三)	04 11 19 25 32 01 02 
2019018	2019-02-18(一)	03 18 19 26 34 06 12 
2019017	2019-02-16(六)	01 05 07 22 25 03 04 
2019016	2019-02-13(三)	03 05 13 16 28 02 06 
2019015	2019-02-11(一)	02 05 10 13 30 04 06 
2019014	2019-02-02(六)	12 14 20 28 31 09 11 
2019013	2019-01-30(三)	08 10 15 17 18 01 08 
2019012	2019-01-28(一)	05 09 17 18 19 07 10 
2019011	2019-01-26(六)	04 12 13 16 17 04 09 
2019010	2019-01-23(三)	03 07 24 25 27 02 12 
2019009	2019-01-21(一)	03 09 15 18 26 06 12 
2019008	2019-01-19(六)	03 08 17 20 24 06 11 
2019007	2019-01-16(三)	03 12 16 29 32 01 05 
2019006	2019-01-14(一)	14 17 19 25 30 04 08 
2019005	2019-01-12(六)	21 26 27 29 34 05 06 
2019004	2019-01-09(三)	15 16 17 31 32 03 09 
2019003	2019-01-07(一)	04 08 18 20 32 10 12 
2019002	2019-01-05(六)	02 07 14 22 31 01 07 
2019001	2019-01-02(三)	06 18 23 26 28 03 12 
