开奖日期	                开奖号码
2023-02-13(一)	[08 16 24 25 34 08 12]
2023-02-11(六)	[03 08 18 22 24 01 09]
2023-02-08(三)	[01 02 09 23 25 02 06]
2023-02-06(一)	[07 16 17 18 28 02 03]
2023-02-04(六)	[02 07 08 17 25 01 03]
2023-02-01(三)	[05 06 13 23 26 01 06]
2023-01-30(一)	[01 05 11 15 33 01 10]
2023-01-18(三)	[04 09 17 22 25 01 05]
2023-01-16(一)	[02 03 24 30 32 01 06]
2023-01-14(六)	[02 04 12 27 35 06 07]
2023-01-11(三)	[01 03 10 20 29 06 11]
2023-01-09(一)	[04 13 15 20 22 04 08]
2023-01-07(六)	[05 06 14 21 22 02 09]
2023-01-04(三)	[11 14 21 26 27 02 07]
2023-01-02(一)	[18 19 24 27 34 11 12]
2022-12-31(六)	[06 07 26 29 30 03 12]
2022-12-28(三)	[15 19 22 26 28 02 07]
2022-12-26(一)	[04 05 06 26 27 07 12]
2022-12-24(六)	[04 12 22 28 30 09 11]
2022-12-21(三)	[01 21 23 28 35 07 09]
2022-12-19(一)	[10 20 29 30 35 06 09]
2022-12-17(六)	[03 04 08 15 21 04 07]
2022-12-14(三)	[10 13 14 27 33 07 08]
2022-12-12(一)	[07 12 14 29 35 01 11]
2022-12-10(六)	[05 06 14 24 25 02 04]
2022-12-07(三)	[05 15 25 26 29 04 12]
2022-12-05(一)	[01 13 14 22 35 02 05]
2022-12-03(六)	[05 13 16 27 33 07 12]
2022-11-30(三)	[05 06 08 15 20 07 08]
2022-11-28(一)	[01 11 15 17 33 03 11]
2022-11-26(六)	[09 10 27 31 32 01 03]
2022-11-23(三)	[03 16 23 27 32 03 06]
2022-11-21(一)	[01 02 14 30 31 06 09]
2022-11-19(六)	[02 27 30 34 35 09 12]
2022-11-16(三)	[02 06 08 10 17 05 06]
2022-11-14(一)	[05 07 15 18 23 05 10]
2022-11-12(六)	[10 17 23 34 35 01 04]
2022-11-09(三)	[10 19 21 23 35 04 10]
2022-11-07(一)	[02 03 08 09 20 04 10]
2022-11-05(六)	[04 05 08 22 35 01 03]
2022-11-02(三)	[03 07 14 16 19 01 11]
2022-10-31(一)	[02 04 11 25 30 06 12]
2022-10-29(六)	[02 20 28 29 30 07 10]
2022-10-26(三)	[04 15 17 19 25 06 12]
2022-10-24(一)	[04 15 16 20 21 04 05]
2022-10-22(六)	[11 22 26 30 33 03 05]
2022-10-19(三)	[01 09 16 25 29 04 09]
2022-10-17(一)	[02 05 15 17 26 02 08]
2022-10-15(六)	[09 12 15 21 32 02 07]
2022-10-12(三)	[01 07 20 22 31 07 12]
2022-10-10(一)	[17 19 20 23 27 03 08]
2022-10-08(六)	[11 21 24 27 28 05 10]
2022-10-05(三)	[13 15 22 31 33 05 12]
2022-09-28(三)	[04 11 18 20 26 06 12]
2022-09-26(一)	[06 12 16 19 31 06 10]
2022-09-24(六)	[02 13 16 18 23 03 06]
2022-09-21(三)	[05 09 24 29 35 05 12]
2022-09-19(一)	[04 07 13 26 28 07 11]
2022-09-17(六)	[07 09 19 28 29 08 10]
2022-09-14(三)	[16 17 21 28 32 04 07]
2022-09-12(一)	[01 08 09 21 22 01 04]
2022-09-10(六)	[03 05 13 19 25 02 05]
2022-09-07(三)	[08 12 16 21 32 01 12]
2022-09-05(一)	[01 05 14 20 30 02 04]
2022-09-03(六)	[02 04 06 07 08 03 06]
2022-08-31(三)	[10 19 20 23 31 03 07]
2022-08-29(一)	[07 18 25 27 33 04 05]
2022-08-27(六)	[01 03 06 11 13 03 11]
2022-08-24(三)	[05 13 22 28 29 05 11]
2022-08-22(一)	[16 19 24 27 33 01 06]
2022-08-20(六)	[05 08 22 25 35 02 07]
2022-08-17(三)	[03 04 07 12 19 02 05]
2022-08-15(一)	[07 11 14 21 29 07 10]
2022-08-13(六)	[01 04 12 23 29 05 12]
2022-08-10(三)	[02 11 20 22 34 04 12]
2022-08-08(一)	[01 20 24 25 31 09 12]
2022-08-06(六)	[01 20 21 31 33 03 11]
2022-08-03(三)	[01 08 10 20 35 06 11]
2022-08-01(一)	[04 06 10 24 28 06 12]
2022-07-30(六)	[04 10 21 28 31 08 11]
2022-07-27(三)	[11 16 31 33 35 06 08]
2022-07-25(一)	[03 11 19 25 27 04 12]
2022-07-23(六)	[02 09 17 26 32 04 06]
2022-07-20(三)	[04 26 27 30 33 02 09]
2022-07-18(一)	[05 10 19 31 32 09 10]
2022-07-16(六)	[10 17 30 31 34 03 06]
2022-07-13(三)	[07 10 19 26 32 08 12]
2022-07-11(一)	[02 03 18 20 27 01 02]
2022-07-09(六)	[05 10 11 16 19 01 10]
2022-07-06(三)	[05 17 30 34 35 02 09]
2022-07-04(一)	[04 12 13 17 18 07 09]
2022-07-02(六)	[02 06 21 25 28 02 06]
2022-06-29(三)	[11 18 21 25 32 02 04]
2022-06-27(一)	[01 12 13 15 30 03 07]
2022-06-25(六)	[09 15 19 25 29 08 09]
2022-06-22(三)	[01 07 17 23 35 07 11]
2022-06-20(一)	[02 03 23 28 35 02 09]
2022-06-18(六)	[03 06 10 15 23 03 08]
2022-06-15(三)	[04 14 15 32 33 10 11]
2022-06-13(一)	[02 24 25 26 34 03 12]
2022-06-11(六)	[05 10 13 22 28 01 04]
2022-06-08(三)	[02 19 22 25 35 05 07]
2022-06-06(一)	[02 03 22 26 31 06 10]
2022-06-04(六)	[05 09 11 12 31 07 11]
2022-06-01(三)	[06 09 19 22 30 01 06]
2022-05-30(一)	[02 06 10 11 20 03 09]
2022-05-28(六)	[04 15 18 32 34 04 09]
2022-05-25(三)	[03 04 24 26 35 07 08]
2022-05-23(一)	[06 12 18 21 35 07 10]
2022-05-21(六)	[02 11 15 17 31 07 09]
2022-05-18(三)	[01 02 12 15 23 04 06]
2022-05-16(一)	[05 16 21 23 34 07 10]
2022-05-14(六)	[09 17 19 20 25 01 09]
2022-05-11(三)	[01 13 18 29 35 04 09]
2022-05-09(一)	[01 16 17 19 33 05 06]
2022-05-07(六)	[02 10 21 24 30 08 10]
2022-05-04(三)	[06 10 20 28 35 01 10]
2022-05-02(一)	[16 22 28 29 32 08 09]
2022-04-30(六)	[07 10 11 12 33 03 11]
2022-04-27(三)	[06 07 12 22 27 03 05]
2022-04-25(一)	[02 03 07 12 20 01 05]
2022-04-23(六)	[01 02 16 17 20 03 07]
2022-04-20(三)	[02 16 17 24 30 09 12]
2022-04-18(一)	[08 10 11 29 32 02 06]
2022-04-16(六)	[05 15 25 26 33 06 11]
2022-04-13(三)	[10 19 25 29 33 08 12]
2022-04-11(一)	[01 08 11 22 31 05 11]
2022-04-09(六)	[07 09 11 12 26 09 12]
2022-04-06(三)	[01 09 17 20 28 06 10]
2022-04-04(一)	[18 19 21 26 34 06 07]
2022-04-02(六)	[09 11 13 23 31 05 08]
2022-03-30(三)	[02 10 24 27 28 06 07]
2022-03-28(一)	[08 15 16 19 33 03 04]
2022-03-26(六)	[05 09 18 31 32 01 05]
2022-03-23(三)	[07 14 16 20 28 04 08]
2022-03-21(一)	[12 14 15 21 30 01 09]
2022-03-19(六)	[07 08 10 14 17 10 12]
2022-03-16(三)	[04 09 16 17 35 01 07]
2022-03-14(一)	[03 06 11 31 32 05 12]
2022-03-12(六)	[11 14 22 23 27 08 10]
2022-03-09(三)	[04 07 22 24 29 01 07]
2022-03-07(一)	[01 02 11 30 35 01 12]
2022-03-05(六)	[04 05 18 20 25 11 12]
2022-03-02(三)	[01 05 14 17 28 06 07]
2022-02-28(一)	[11 15 16 18 35 06 09]
2022-02-26(六)	[16 17 30 31 35 08 09]
2022-02-23(三)	[01 04 07 17 21 01 02]
2022-02-21(一)	[16 21 29 31 34 06 09]
2022-02-19(六)	[10 14 18 23 25 07 11]
2022-02-16(三)	[01 07 17 26 32 01 09]
2022-02-14(一)	[01 02 08 12 30 05 12]
2022-02-12(六)	[01 04 10 18 32 01 09]
2022-02-09(三)	[04 09 16 25 32 05 06]
2022-01-26(三)	[03 05 10 33 34 07 10]
2022-01-24(一)	[03 05 17 24 32 05 12]
2022-01-22(六)	[04 19 25 31 35 02 11]
2022-01-19(三)	[13 14 18 31 33 07 10]
2022-01-17(一)	[01 02 13 18 34 06 07]
2022-01-15(六)	[05 22 23 25 35 03 11]
2022-01-12(三)	[01 05 07 17 20 05 12]
2022-01-10(一)	[02 13 17 19 34 05 09]
2022-01-08(六)	[07 20 27 30 33 03 04]
2022-01-05(三)	[02 18 24 25 34 08 12]
2022-01-03(一)	[04 06 07 09 24 04 12]
2022-01-01(六)	[08 11 19 22 29 03 11]
2021-12-29(三)	[04 10 11 23 26 07 10]
2021-12-27(一)	[20 26 28 30 35 10 11]
2021-12-25(六)	[01 04 12 16 29 04 08]
2021-12-22(三)	[01 02 08 12 26 01 07]
2021-12-20(一)	[03 05 08 18 20 09 11]
2021-12-18(六)	[03 08 25 29 30 01 06]
2021-12-15(三)	[03 20 25 30 34 02 09]
2021-12-13(一)	[09 17 19 29 34 04 11]
2021-12-11(六)	[11 13 17 19 25 02 09]
2021-12-08(三)	[02 08 16 29 34 05 12]
2021-12-06(一)	[05 24 26 33 35 09 12]
2021-12-04(六)	[05 13 18 23 34 08 09]
2021-12-01(三)	[09 11 12 15 31 05 11]
2021-11-29(一)	[02 07 13 14 19 04 05]
2021-11-27(六)	[08 12 19 27 33 02 05]
2021-11-24(三)	[04 07 17 29 31 05 06]
2021-11-22(一)	[02 06 14 19 28 01 06]
2021-11-20(六)	[08 09 17 26 28 06 08]
2021-11-17(三)	[04 21 28 29 33 03 11]
2021-11-15(一)	[06 08 16 34 35 05 06]
2021-11-13(六)	[02 03 14 27 28 05 10]
2021-11-10(三)	[02 16 17 18 34 04 10]
2021-11-08(一)	[14 17 18 23 27 05 08]
2021-11-06(六)	[01 02 15 17 26 02 11]
2021-11-03(三)	[01 11 12 34 35 09 12]
2021-11-01(一)	[17 19 21 27 31 04 09]
2021-10-30(六)	[10 17 22 25 35 07 09]
2021-10-27(三)	[08 23 26 27 33 08 09]
2021-10-25(一)	[14 15 26 27 29 04 05]
2021-10-23(六)	[02 15 19 29 30 02 09]
2021-10-20(三)	[05 10 21 25 31 05 11]
2021-10-18(一)	[01 02 09 16 30 09 10]
2021-10-16(六)	[14 17 18 28 34 02 03]
